id,local_id,nameWithOwner,url,createdAt,stars,releases,age
MDEwOlJlcG9zaXRvcnkxNTY5NTUzOTg=,aafdf3b1-979f-48b0-9fe9-a0748815edc1,wu9007/qrcode_scanner,https://github.com/wu9007/qrcode_scanner,2018-11-10T06:44:23Z,355,1,4.857534246575343
MDEwOlJlcG9zaXRvcnk3NTcxNzg0MA==,74513b25-20aa-4d3d-af44-0879a0d01103,CGmaybe10/FocusSurfaceView,https://github.com/CGmaybe10/FocusSurfaceView,2016-12-06T09:52:15Z,354,1,6.786301369863014
MDEwOlJlcG9zaXRvcnk0MTM5ODgwNg==,56cfc84d-d234-4bf2-9b06-d093d5b2e073,ichenkaihua/ssm-easy-template,https://github.com/ichenkaihua/ssm-easy-template,2015-08-26T02:07:51Z,354,2,8.068493150684931
MDEwOlJlcG9zaXRvcnkxMjY3MDcxMTU=,8ee38d1c-1305-40a3-93c9-2d72392a991e,HowieYuan/Shiro-SpringBoot,https://github.com/HowieYuan/Shiro-SpringBoot,2018-03-25T14:41:59Z,354,0,5.487671232876712
MDEwOlJlcG9zaXRvcnkyMDA3OTM4NjQ=,a5d0f2d2-bfea-4644-9a4f-c540a0fd6bce,jackson-zb/microservice-scaffold,https://github.com/jackson-zb/microservice-scaffold,2019-08-06T06:52:26Z,247,0,4.120547945205479
MDEwOlJlcG9zaXRvcnkyNDAwNzgzNw==,267cf523-aed0-431a-97f7-bccac3cf3b31,jacobtabak/Fragment-Switcher,https://github.com/jacobtabak/Fragment-Switcher,2014-09-13T22:41:26Z,247,0,9.016438356164384
MDEwOlJlcG9zaXRvcnkxNjM1MDM3NDk=,4f57dcb9-1dfe-479b-9d39-8fce0dd2ba93,xmuSistone/AlipayPullRefresh,https://github.com/xmuSistone/AlipayPullRefresh,2018-12-29T10:56:34Z,246,0,4.723287671232876
MDEwOlJlcG9zaXRvcnkxNjQwNjA5NQ==,e4d21e11-8577-488c-b5f3-c87b34097714,mHealthTechnologies/mHealthDroid,https://github.com/mHealthTechnologies/mHealthDroid,2014-01-31T11:19:22Z,246,3,9.635616438356164
MDEwOlJlcG9zaXRvcnkzODU2Mzg2Mw==,58a5b8e2-d658-4371-a0c3-2480366a0260,bingoogolapple/BGATitleBar-Android,https://github.com/bingoogolapple/BGATitleBar-Android,2015-07-05T09:36:38Z,246,0,8.210958904109589
MDEwOlJlcG9zaXRvcnk4Njc5NTU5NA==,f3134606-386d-43f5-8958-8c0df6547237,czy1121/sdk3rd,https://github.com/czy1121/sdk3rd,2017-03-31T08:19:22Z,246,8,6.471232876712329
MDEwOlJlcG9zaXRvcnkyNjQzNzUzMg==,224eb59b-e341-4443-ba1d-8fecbac9dcf8,cloay/CRefreshLayout,https://github.com/cloay/CRefreshLayout,2014-11-10T13:32:08Z,246,1,8.860273972602739
MDEwOlJlcG9zaXRvcnk3MTI0MDMzMw==,73a97a9c-c624-43db-9853-d46237b3ef3d,PKULCWM/PKUSUMSUM,https://github.com/PKULCWM/PKUSUMSUM,2016-10-18T11:16:51Z,246,0,6.920547945205479
MDEwOlJlcG9zaXRvcnk5Nzc4NzYxNQ==,eca3528d-c180-4803-9706-5e5261d85720,jshvarts/DaggerAndroidMVVM,https://github.com/jshvarts/DaggerAndroidMVVM,2017-07-20T03:42:26Z,245,0,6.167123287671233
MDEwOlJlcG9zaXRvcnk0NDUyNTg2MA==,c0bb4c8a-1003-4fb7-8c8e-030731009329,brucetoo/VideoControllerView,https://github.com/brucetoo/VideoControllerView,2015-10-19T09:56:09Z,245,0,7.920547945205479
MDEwOlJlcG9zaXRvcnk2NjEyODUzNg==,e4301b13-1497-401a-85cd-0e7127f1059a,markzhai/DataBindingAdapter,https://github.com/markzhai/DataBindingAdapter,2016-08-20T04:40:09Z,245,0,7.082191780821918
MDEwOlJlcG9zaXRvcnk2NzUwMTM0Nw==,5808fa7c-3b77-4db9-93eb-b401633e0371,AlexMofer/Printer,https://github.com/AlexMofer/Printer,2016-09-06T11:21:13Z,245,1,7.035616438356165
MDEwOlJlcG9zaXRvcnkzMjYyNjk0Nw==,6cd9805c-0d98-467d-967b-7ef17d088ed9,sumimakito/AdvancedTextSwitcher,https://github.com/sumimakito/AdvancedTextSwitcher,2015-03-21T09:35:32Z,245,1,8.501369863013698
MDEwOlJlcG9zaXRvcnkzNjY1NDYyMA==,b98f9a67-06d9-4ab3-9708-cb9e376b446d,Adirockzz95/FABtransitions,https://github.com/Adirockzz95/FABtransitions,2015-06-01T10:47:26Z,244,0,8.304109589041095
MDEwOlJlcG9zaXRvcnkxNDExMzQ4OA==,dec9a467-4b01-4394-822e-882f00aff3ef,belerweb/social-sdk,https://github.com/belerweb/social-sdk,2013-11-04T15:18:04Z,244,0,9.876712328767123
MDEwOlJlcG9zaXRvcnkyNTUzNjM5NzA=,2f029e02-422b-42b8-bd47-1ddd856dc4c1,DP-3T/dp3t-sdk-android,https://github.com/DP-3T/dp3t-sdk-android,2020-04-13T15:19:32Z,243,16,3.432876712328768
MDEwOlJlcG9zaXRvcnkzNzAxOTI5NQ==,ce866310-1566-40bf-b492-26160557d328,thiagokimo/Faker,https://github.com/thiagokimo/Faker,2015-06-07T14:24:06Z,243,7,8.287671232876713
MDEwOlJlcG9zaXRvcnkzNjA3Nzgz,582412d6-8b48-45ec-8e2b-b0788478132e,michaelklishin/quartz-mongodb,https://github.com/michaelklishin/quartz-mongodb,2012-03-03T01:30:59Z,243,0,11.550684931506847
MDEwOlJlcG9zaXRvcnkzNTQxNjczOQ==,bc0f9e17-530d-4d2b-b2b0-31151e413a04,lshuaiwei/Dubbo-Zookeeper-Netty-SpringMVC,https://github.com/lshuaiwei/Dubbo-Zookeeper-Netty-SpringMVC,2015-05-11T10:17:17Z,243,0,8.361643835616439
MDEwOlJlcG9zaXRvcnk5NDIwMTY0MQ==,a9dfd6cd-b184-4ffa-88cd-61b4fbf3a4af,chilijung/android-stepsview,https://github.com/chilijung/android-stepsview,2017-06-13T10:37:10Z,243,0,6.268493150684932
MDEwOlJlcG9zaXRvcnk2NDM2NDEwOQ==,2c4bad3d-efb7-4657-a79b-685fe87b3325,bloderxd/MagicButton,https://github.com/bloderxd/MagicButton,2016-07-28T04:21:59Z,242,0,7.145205479452055
MDEwOlJlcG9zaXRvcnk5ODU3MDUz,3bab0f85-6426-4fa1-b9ce-bcb07f4cdd52,spotify/netty-zmtp,https://github.com/spotify/netty-zmtp,2013-05-04T16:46:29Z,242,2,10.38082191780822
MDEwOlJlcG9zaXRvcnk1NDc2NzQzNg==,f6425c01-7f67-45d9-bf9d-b1dd4fecf9d4,VeerHan/RecyclerRefresh,https://github.com/VeerHan/RecyclerRefresh,2016-03-26T07:06:28Z,241,0,7.484931506849315
MDEwOlJlcG9zaXRvcnk1MzU0MzM3MQ==,832f0e11-41ef-4bb6-a814-c33443624e22,junkchen/BleLib,https://github.com/junkchen/BleLib,2016-03-10T00:55:46Z,241,6,7.528767123287671
MDEwOlJlcG9zaXRvcnkxMDY3MTA3MQ==,93633ad3-d41b-4fa1-9762-a5bfaec5ea28,melix/deck2pdf,https://github.com/melix/deck2pdf,2013-06-13T17:00:33Z,241,0,10.271232876712329
MDEwOlJlcG9zaXRvcnkzMDM3Mjc1OA==,1c913c1d-08ae-456f-b41d-fd7cf2c51534,cordova-sms/cordova-sms-plugin,https://github.com/cordova-sms/cordova-sms-plugin,2015-02-05T19:03:29Z,241,11,8.621917808219179
MDEwOlJlcG9zaXRvcnkyODMyODg=,5568af5a-7787-4c59-a186-ebc149df53fc,aptana/Pydev,https://github.com/aptana/Pydev,2009-08-20T18:20:05Z,241,0,14.087671232876712
MDEwOlJlcG9zaXRvcnk2OTAxMjExMA==,ed26f0bc-a242-41ac-a561-ca9c2857d14e,zhangke3016/GeneratePicture,https://github.com/zhangke3016/GeneratePicture,2016-09-23T09:50:07Z,241,0,6.989041095890411
MDEwOlJlcG9zaXRvcnk1Mjg0MDgwOA==,b2b8ddac-dbab-4de9-bde8-51aeba9ca255,bbejeck/kafka-streams,https://github.com/bbejeck/kafka-streams,2016-03-01T02:14:08Z,241,0,7.553424657534246
MDEwOlJlcG9zaXRvcnk3Nzg0MDkx,bbae6e4e-1847-4036-9a14-ee5e52314d9a,RS485/LogisticsPipes,https://github.com/RS485/LogisticsPipes,2013-01-23T21:19:57Z,240,2,10.657534246575343
MDEwOlJlcG9zaXRvcnk4OTE5MTI0NA==,40e7ec67-ff5a-4a45-8879-b92885c486d2,javaee/cargotracker,https://github.com/javaee/cargotracker,2017-04-24T02:52:08Z,240,0,6.405479452054794
MDEwOlJlcG9zaXRvcnk0NDM4OTQxMg==,c657bef3-a580-435b-8ffc-1bb8bb36a615,prolificinteractive/Chandelier,https://github.com/prolificinteractive/Chandelier,2015-10-16T14:14:06Z,240,1,7.928767123287671
MDEwOlJlcG9zaXRvcnk1MTczODQ3NA==,465ab28f-8f66-4d29-8a9f-11774ff5b254,T-baby/MongoDB-Plugin,https://github.com/T-baby/MongoDB-Plugin,2016-02-15T07:34:38Z,239,13,7.594520547945206
MDEwOlJlcG9zaXRvcnk0NTYyMTczOA==,aaa5d0b0-c98b-46f5-915c-d4e015a22f64,hanhailong/VCL-Android,https://github.com/hanhailong/VCL-Android,2015-11-05T15:51:56Z,239,0,7.873972602739726
MDEwOlJlcG9zaXRvcnkzODA1NzI1OQ==,f860d375-1fbe-4a97-9010-a1e46a0581b3,JerzyPuchalski/Android-DPI-Calculator,https://github.com/JerzyPuchalski/Android-DPI-Calculator,2015-06-25T15:21:35Z,239,1,8.238356164383562
MDEwOlJlcG9zaXRvcnkxMzU2NzMyNjg=,3e7a3a15-bc9a-4c41-a887-430e273a5bab,aalhuz/navex,https://github.com/aalhuz/navex,2018-06-01T05:49:40Z,238,0,5.301369863013699
MDEwOlJlcG9zaXRvcnk3NTkyNDE0,29128fc7-1284-4a1a-bf80-f04cf2b975fa,dsandler/markers,https://github.com/dsandler/markers,2013-01-13T19:30:21Z,238,0,10.684931506849315
MDEwOlJlcG9zaXRvcnkyMTE0Njg0MQ==,53a6748c-2d11-44d5-bab7-9ca9b55e1b85,forcedotcom/idecore,https://github.com/forcedotcom/idecore,2014-06-24T00:22:55Z,238,0,9.24109589041096
MDEwOlJlcG9zaXRvcnkyODU5NTI3Nw==,96ea96fc-c238-4b75-8f53-5543c0faab50,lwis/miband-notifier,https://github.com/lwis/miband-notifier,2014-12-29T14:46:37Z,238,11,8.726027397260275
MDEwOlJlcG9zaXRvcnkxOTAxNDcyNzE=,235a046d-f6a5-4f37-95f2-ff49f3f94527,kxcode/JNDI-Exploit-Bypass-Demo,https://github.com/kxcode/JNDI-Exploit-Bypass-Demo,2019-06-04T07:00:15Z,237,0,4.293150684931507
