id,nameWithOwner,url,createdAt,updatedAt,primaryLanguage,releases,pullRequests,issues,IssuesClosed,age,timeSinceLastUpdate,reasonIssuesIssuesClosed
MDEwOlJlcG9zaXRvcnk4ODQ2NDcwNA==,PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,2017-04-17T03:35:49Z,2023-09-06T17:13:55Z,Vue,49,313,3548,2344,2333,2.1419444444444444,0.6606538895152199
MDEwOlJlcG9zaXRvcnkyMjc5MDQ4OA==,iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns,2014-08-09T16:45:18Z,2023-09-06T18:11:12Z,Java,0,1123,856,673,3315,1.1872222222222222,0.7862149532710281
MDEwOlJlcG9zaXRvcnk1NDE3MzU5Mw==,storybookjs/storybook,https://github.com/storybookjs/storybook,2016-03-18T04:23:44Z,2023-09-06T18:39:36Z,TypeScript,1272,8780,11343,9690,2728,0.7138888888888889,0.8542713567839196
MDEwOlJlcG9zaXRvcnkzMzYxNDMwNA==,nvbn/thefuck,https://github.com/nvbn/thefuck,2015-04-08T15:08:04Z,2023-09-06T18:56:22Z,Python,17,481,685,458,3073,0.43444444444444447,0.6686131386861314
MDEwOlJlcG9zaXRvcnkyNTYxNTgy,animate-css/animate.css,https://github.com/animate-css/animate.css,2011-10-12T10:07:38Z,2023-09-06T18:38:40Z,CSS,22,313,851,828,4347,0.7294444444444445,0.972972972972973
MDEwOlJlcG9zaXRvcnk1MjYzMTg0MQ==,gothinkster/realworld,https://github.com/gothinkster/realworld,2016-02-26T20:49:53Z,2023-09-06T17:45:06Z,TypeScript,0,410,521,468,2748,1.6222222222222222,0.8982725527831094
MDEwOlJlcG9zaXRvcnkxNTIwNDg2MA==,papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,2013-12-15T14:31:41Z,2023-09-06T19:18:38Z,Shell,0,425,225,212,3552,0.06333333333333334,0.9422222222222222
MDEwOlJlcG9zaXRvcnk1MTExNzgzNw==,tensorflow/models,https://github.com/tensorflow/models,2016-02-05T01:15:20Z,2023-09-06T12:55:22Z,Jupyter Notebook,36,2304,7174,6129,2770,6.4511111111111115,0.8543350989684974
MDEwOlJlcG9zaXRvcnkzMTE1MjU3OTg=,microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,2023-09-06T18:39:59Z,JavaScript,0,473,262,232,1030,0.7075,0.8854961832061069
MDEwOlJlcG9zaXRvcnk1ODAyODAzOA==,521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub,2016-05-04T06:24:11Z,2023-09-06T18:49:28Z,Python,34,16,2507,2393,2681,0.5494444444444444,0.9545273234942162
MDEwOlJlcG9zaXRvcnkxODYzMzI5,laravel/laravel,https://github.com/laravel/laravel,2011-06-08T03:06:08Z,2023-09-06T19:18:22Z,PHP,147,1509,0,0,4473,0.06777777777777778,0.0
MDEwOlJlcG9zaXRvcnkxNjA2NDAwOTQ=,MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,2023-09-06T17:06:27Z,Java,0,63,59,42,1735,2.266388888888889,0.711864406779661
MDEwOlJlcG9zaXRvcnk0MTY0NDgy,django/django,https://github.com/django/django,2012-04-28T02:47:18Z,2023-09-06T18:18:46Z,Python,0,8367,0,0,4148,1.0611111111111111,0.0
